CODPROD;FECHAVIG;PRECIOV
1065;30/06/2011;2,5
1067;01/01/2012;2,5
1069;05/09/2011;1,1
1070;30/06/2011;1,1
1071;01/07/2012;0,75
1072;01/07/2012;0,75
1525;14/09/2012;0,8
2001;12/09/2002;0,3
2002;12/09/2002;0,3
2003;12/09/2002;0,3
2003;01/08/2003;0,3
2003;08/02/2005;0,35
2003;18/10/2006;0,36
2003;21/02/2008;0,4
2003;02/05/2008;0,6
2003;21/05/2009;0,35
2008;28/09/2002;0
2009;28/09/2002;0
2011;12/09/2002;0,1
2012;12/09/2002;0,1
2013;12/09/2002;0,1
2014;12/09/2002;0,1
2014;01/08/2003;0,1
2015;04/02/2004;0,08
2015;30/08/2005;0,08
2019;26/03/2009;0,35
2019;21/05/2009;0,35
2019;12/10/2009;0,35
2020;12/09/2002;0,24
2020;01/11/2007;0,3
2020;19/02/2008;0,3
2020;25/04/2008;0,34
2020;01/05/2008;0,338
2020;27/10/2008;0,35
2020;21/05/2009;0,35
2020;20/02/2011;0,4
2021;12/09/2002;0,24
2021;01/11/2007;0,3
2021;19/02/2008;0,3
2021;21/02/2008;0,338
2021;02/05/2008;0,338
2021;27/10/2008;0,35
2021;21/05/2009;0,35
2021;20/02/2011;0,4
2022;12/09/2002;0,24
2022;01/11/2007;0,3
2022;19/02/2008;0,3
2022;21/02/2008;0,338
2022;02/05/2008;0,338
2022;27/10/2008;0,35
2022;21/05/2009;0,35
2022;20/02/2011;0,4
2023;12/09/2002;0,24
2023;01/11/2007;0,3
2023;19/02/2008;0,3
2023;21/02/2008;0,338
2023;02/05/2008;0,338
2023;27/10/2008;0,35
2023;21/05/2009;0,35
2023;20/02/2011;0,4
2024;12/09/2002;0,24
2024;01/11/2007;0,3
2024;19/02/2008;0,3
2024;21/02/2008;0,338
2024;02/05/2008;0,338
2024;27/10/2008;0,35
2024;21/05/2009;0,35
2025;30/08/2005;0,24
2025;19/02/2008;0,3
2025;21/02/2008;0,338
2025;02/05/2008;0,338
2025;27/10/2008;0,35
2025;21/05/2009;0,35
2026;12/09/2002;0,24
2026;19/02/2008;0,3
2026;01/04/2008;0,34
2026;02/05/2008;0,338
2026;21/05/2009;0,6
2027;02/05/2008;0,6
2027;21/05/2009;0,6
2028;02/05/2008;0,33
2028;21/05/2009;0,6
2028;18/06/2009;0,35
2028;12/10/2009;0,6
2029;02/05/2008;0,6
2029;21/05/2009;0,6
2030;27/09/2002;0,1481
2031;27/09/2002;0,1481
2032;27/09/2002;0,1481
2033;27/09/2002;0,1481
